Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1990","1990","tonnes","111517408","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1991","1991","tonnes","112042000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1992","1992","tonnes","109001200","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1993","1993","tonnes","120400000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1994","1994","tonnes","122640000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1995","1995","tonnes","115440000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1996","1996","tonnes","122500000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1997","1997","tonnes","123700000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1998","1998","tonnes","129055000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","1999","1999","tonnes","134495904","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2000","2000","tonnes","127464896","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2001","2001","tonnes","139900000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2002","2002","tonnes","107730304","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2003","2003","tonnes","132789000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2004","2004","tonnes","124697104","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2005","2005","tonnes","137690096","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2006","2006","tonnes","139136992","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2007","2007","tonnes","144570000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2008","2008","tonnes","148036000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2009","2009","tonnes","135672992","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2010","2010","tonnes","143963008","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2011","2011","tonnes","157900000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2012","2012","tonnes","157800000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2013","2013","tonnes","159200000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2014","2014","tonnes","157200000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2015","2015","tonnes","156540000","","Official data"
"QC","Crops","100","India","5510","Production","27","Rice, paddy","2016","2016","tonnes","158756871","Im","FAO data based on imputation methodology"
